img_path,text
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image001.jpg,my name is Simran
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image002.jpg,attack on titan is peak
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image003.jpg,shinzou wo sasageyo
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image004.jpg,computer science course
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image005.jpg,AI model for the visually impaired
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image006.jpg,Simran Kaur Chahal
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image007.jpg,bottle of water is good
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image008.jpg,help me decide it bro
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image009.jpg,final year capstone project
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image010.jpg,BSC(Hons) in computer science
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image011.jpg,Dr. Hadyan Hafiz lecturer
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image012.jpg,My GPA is currently 4.00765
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image013.jpg,convolutional recurrent neural network
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image014.jpg,ariana Grande is the best at this
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image015.jpg,"amirtha, vivien, zi rong"
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image016.jpg,Re-export ONNX model
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image017.jpg,artificial intelligence over me
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image018.jpg,"Flying fox laid down, awhile"
/content/drive/MyDrive/EXTRA/myhandwriting_finetune/Datasets/handwriting/images/image019.jpg,By Simran Kaur Chahal
